product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
278819422,119000,29,5.0,1,30,0,0,1
278682211,127050,87,4.6,7,23,1,0,1
278636704,105000,39,4.8,4,30,1,0,1
278196123,148000,80,3.0,2,0,0,0,1
277857892,153000,73,3.5,2,30,1,0,0
277684246,156000,28,5.0,1,32,1,0,1
276756378,208000,158,4.8,11,30,0,1,4
276451695,136200,103,5.0,8,30,0,0,2
274557169,250000,178,4.8,16,0,2,0,4
273572930,276000,86,4.3,3,21,1,0,0
252648900,42000,284,5.0,19,7,0,0,2
208560326,60000,741,5.0,25,25,0,0,9
207427386,183000,234,4.7,15,23,2,2,2
204317934,240000,2478,5.0,273,26,5,3,87
177117486,125000,737,5.0,120,32,1,5,39
175147117,80700,161,5.0,11,26,0,0,2
175146839,110800,281,5.0,50,26,4,0,10
131843989,59600,662,5.0,85,25,2,1,25
126743461,138400,269,4.7,38,30,2,2,15
87118123,12000,82,4.0,4,20,1,0,1
84950232,75460,1723,5.0,222,23,5,5,67
69624539,210000,2692,4.8,413,30,19,17,148
8155348,139000,2437,4.7,150,30,15,11,37
5852521,157000,27213,5.0,1992,25,17,18,266
543197,134400,273,5.0,19,20,12,10,100
520330,79000,4042,4.8,436,34,17,16,115
279135169,51000,5,5.0,1,25,0,0,1
278947811,35800,17,5.0,2,0,0,0,1
278903287,29400,43,5.0,1,2,0,0,1
278070727,111000,96,4.8,4,34,0,1,1
277168610,210000,57,5.0,7,27,0,0,2
277041317,97000,68,5.0,3,0,0,0,1
276396477,97000,419,5.0,25,8,1,0,3
275452687,1417000,77,5.0,14,23,1,1,3
275332762,188900,400,5.0,42,30,0,1,8
275206732,169000,75,5.0,3,23,0,0,2
274099740,66000,63,4.7,3,34,1,0,1
273952861,124600,31,5.0,1,30,0,0,1
272422879,255000,93,5.0,13,0,0,1,9
271516488,82000,2887,4.8,164,25,5,2,50
269897426,137200,301,4.7,31,30,1,2,9
248755023,69300,796,4.8,59,30,2,3,12
186290824,31000,837,5.0,85,18,1,1,13
175798776,355600,339,4.8,54,29,2,2,17
168293381,101000,76,5.0,10,33,0,2,3
168234704,107000,241,5.0,20,14,0,0,9
104651900,143200,2823,4.8,451,0,21,15,112
102775969,188300,1314,4.8,274,30,12,7,83
50277621,103100,1795,4.7,243,35,10,12,57
32921595,47000,1939,4.8,373,31,12,19,137
13407561,47400,5305,5.0,559,21,8,15,135
6926849,145000,17740,4.8,1897,24,33,26,242
