ID,Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3,sentiment_llm_label_id_0,sentiment_llm_label_id_1,sentiment_llm_label_id_2
278089743,229000,298,5.0,12,33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
275945034,250000,447,5.0,45,30,0.0,0.0,5.0,8.0,0.0,0.0,4.0,9.0,0.0,1.0,3.0,9.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,12.0,0.0,1.0,12.0
275278631,149000,207,4.8,13,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
273732354,138000,446,5.0,34,30,1.0,1.0,12.0,5.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,18.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,17.0,1.0,4.0,14.0
272599100,150000,186,5.0,7,27,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
249374002,106000,1079,5.0,92,30,2.0,1.0,14.0,14.0,4.0,1.0,12.0,14.0,0.0,1.0,0.0,30.0,2.0,0.0,5.0,24.0,0.0,0.0,9.0,22.0,0.0,0.0,0.0,31.0,4.0,3.0,24.0
249178401,199000,3745,5.0,63,15,0.0,0.0,14.0,8.0,0.0,0.0,4.0,18.0,1.0,0.0,0.0,21.0,1.0,0.0,2.0,19.0,2.0,0.0,5.0,15.0,1.0,0.0,0.0,21.0,2.0,2.0,18.0
248798962,299000,525,5.0,32,0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
206675362,135000,147,4.5,2,30,3.0,2.0,16.0,12.0,0.0,0.0,4.0,29.0,0.0,0.0,1.0,32.0,0.0,0.0,4.0,29.0,0.0,0.0,3.0,30.0,0.0,0.0,1.0,32.0,5.0,9.0,19.0
195801673,108000,864,5.0,93,25,0.0,0.0,7.0,15.0,1.0,1.0,11.0,9.0,0.0,0.0,0.0,22.0,1.0,0.0,5.0,16.0,0.0,1.0,9.0,12.0,0.0,0.0,3.0,19.0,2.0,2.0,18.0
