Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3
45000,199,5.0,7,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
165000,5240,5.0,258,33,1.0,0.0,35.0,31.0,6.0,0.0,12.0,49.0,0.0,0.0,3.0,64.0,1.0,0.0,9.0,57.0,0.0,0.0,15.0,52.0,1.0,1.0,0.0,65.0
239000,1006,4.8,3766,0,20.0,39.0,85.0,117.0,39.0,10.0,57.0,155.0,6.0,5.0,14.0,236.0,20.0,3.0,48.0,190.0,5.0,5.0,68.0,183.0,4.0,0.0,13.0,244.0
165000,287,5.0,9,33,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
95000,2663,5.0,147,23,2.0,0.0,19.0,14.0,1.0,0.0,12.0,22.0,0.0,0.0,1.0,34.0,0.0,0.0,3.0,32.0,0.0,0.0,5.0,30.0,0.0,0.0,1.0,34.0
225000,1076,5.0,104,25,0.0,0.0,9.0,21.0,4.0,0.0,8.0,18.0,0.0,0.0,3.0,27.0,1.0,0.0,8.0,21.0,1.0,1.0,9.0,19.0,0.0,0.0,1.0,29.0
198000,5082,4.8,329,23,2.0,3.0,38.0,40.0,11.0,1.0,17.0,54.0,0.0,0.0,4.0,79.0,8.0,1.0,16.0,58.0,3.0,2.0,19.0,59.0,2.0,0.0,3.0,78.0
38000,110,4.2,6,0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
210000,1811,5.0,159,25,4.0,2.0,12.0,37.0,6.0,2.0,19.0,28.0,0.0,1.0,3.0,51.0,0.0,1.0,12.0,42.0,0.0,0.0,9.0,46.0,0.0,0.0,4.0,51.0
160000,6104,5.0,488,25,1.0,7.0,40.0,64.0,10.0,2.0,34.0,66.0,0.0,0.0,5.0,107.0,2.0,0.0,40.0,70.0,1.0,1.0,29.0,81.0,2.0,1.0,5.0,104.0
130000,4541,5.0,333,25,6.0,1.0,36.0,47.0,2.0,0.0,29.0,59.0,0.0,0.0,2.0,88.0,0.0,1.0,16.0,73.0,0.0,1.0,20.0,69.0,0.0,0.0,1.0,89.0
